public,performance,q1,q2,q3,q4,q5,q6,q7,q8,q9,age,white,ideology,religion,gender,group,effectiveness,benevolence,redtape,efficiency
1,1,5,4,5,4,4,4,4,4,4,20,1,4,1,0,3,-.88879305,-.98051363,-.29243812,.075236835
0,1,5,5,6,6,7,4,2,7,7,20,0,3,1,1,1,-.60966265,1.3669639,.8289851,-.39585492
1,0,6,7,6,4,4,4,4,5,5,18,0,2,4,1,2,.80509031,-.42163536,-.57194996,.067828372
0,0,5,5,5,6,6,4,4,5,5,19,1,4,1,0,0,-.6457665,-.24590634,.63248438,.049164433
1,1,6,5,5,5,5,4,4,5,5,20,1,4,1,0,3,-.32163158,-.27941138,.1693534,.14800362
0,0,6,6,5,5,5,3,4,5,4,18,1,4,2,1,0,.13840353,-.75672364,.084058695,-.24855649
1,1,5,6,7,3,5,4,3,6,5,18,0,2,1,0,3,.36879802,.050896719,-.64999449,-.21480624
1,0,7,7,6,3,3,4,4,5,6,18,0,1,3,0,2,1.0619949,-.040931601,-1.0293562,.2156792
0,0,6,6,6,5,5,3,3,6,6,18,0,2,2,0,0,.24594472,.45325178,.034789283,-.43912414
0,0,5,5,5,6,5,1,2,7,7,18,0,4,1,0,0,-.9450652,1.4194279,.35724112,-1.3485314
1,1,5,5,4,5,6,3,4,5,5,21,0,3,1,0,3,-.94553393,-.21538348,.40041673,-.21292397
0,1,7,7,7,3,3,3,4,7,7,19,1,3,1,1,1,1.2051158,1.1453125,-1.2274001,-.080491163
1,1,7,7,7,7,6,4,5,5,6,18,1,4,1,0,3,1.3309406,-.12342805,.7467342,.39715007
0,0,6,6,6,3,5,3,3,6,5,18,1,3,1,1,0,.35516074,.036663502,-.52922654,-.42271382
1,1,4,4,4,4,4,4,4,4,4,19,0,1,1,0,3,-1.5133363,-.89960045,-.31731451,.0017206116
1,1,5,6,5,5,2,4,5,6,6,18,1,4,1,0,3,-.34009352,.55551845,-.89078647,.26004303
0,0,6,6,6,7,7,5,5,7,7,20,1,4,1,1,0,.14661451,1.2314245,.91160852,.7173261
1,0,7,6,6,7,7,6,3,7,7,20,1,4,1,1,2,.40996975,1.2115264,1.116443,.5855937
0,1,5,4,4,6,5,6,5,5,6,22,1,4,2,1,1,-1.4003087,.27186221,.44594845,1.0099111
0,1,6,6,7,5,4,3,3,5,6,18,1,1,3,0,1,.61124825,.026786149,-.19508997,-.46144757
0,1,6,6,6,3,6,2,2,5,5,18,1,4,1,1,1,.38411209,-.37395412,-.13197272,-.96170908
1,1,6,6,6,6,7,5,4,4,5,18,0,3,1,0,3,.43410721,-.80217272,.91554701,.42406139
0,0,5,5,3,5,4,2,3,7,6,18,0,3,1,1,0,-1.4687693,1.079453,-.15064625,-.78726989
0,0,7,6,6,6,6,6,6,4,5,18,1,3,4,0,0,.78769732,-.85402614,.60388833,1.3251637
0,1,6,6,6,3,2,3,5,7,6,18,1,4,1,0,1,.27123091,.87409973,-1.5025465,.078990519
0,0,7,7,6,6,6,1,2,6,6,18,1,3,1,0,0,.90196669,.33990338,.628699,-1.2833028
1,0,7,6,6,5,6,4,2,7,5,18,1,5,1,0,2,.55220085,.39924669,.35026032,-.34752071
0,1,6,4,6,6,6,2,6,4,4,20,1,4,1,0,1,-.25784579,-1.115611,.67320007,.035307541
0,0,5,4,6,6,6,4,6,3,3,19,1,3,1,0,0,-.43919387,-1.8824931,.67386633,.52756977
0,0,6,6,6,7,7,4,2,6,5,21,0,3,2,0,0,.25893754,.028812692,1.1691465,-.46725518
1,0,6,6,7,6,6,3,3,6,6,18,1,2,3,1,2,.54635304,.40584362,.52279669,-.46444711
0,1,4,4,4,6,6,4,3,3,3,18,0,3,1,0,1,-1.4518192,-1.7324231,.89191681,-.32276967
0,1,6,6,6,6,3,4,3,6,6,19,1,4,1,1,1,.22032994,.48495737,-.19968024,-.20518731
1,0,6,7,7,6,7,4,5,6,7,18,0,4,1,0,2,.92969674,.72703505,.58068901,.40092871
1,1,7,7,7,7,6,4,4,4,4,18,0,2,4,1,3,1.4937117,-1.345578,.87659895,.047542941
0,0,6,6,6,6,6,4,6,5,5,20,1,4,1,1,0,.42202961,-.40946117,.4501175,.61010629
0,1,6,6,7,6,5,5,6,6,4,19,1,4,1,1,1,.75417483,-.43662328,.063029855,.82331473
1,0,4,5,4,4,6,3,5,5,5,19,0,4,1,1,2,-1.2081101,-.18202387,-.017123254,-.0037052222
1,0,6,6,7,6,7,4,4,6,5,18,1,4,2,0,2,.64445847,-.030137379,.71177852,.078879401
0,0,4,6,5,4,4,4,3,6,6,22,1,3,1,1,0,-.66536957,.59580642,-.59886241,-.27940983
1,1,4,5,3,5,3,3,3,5,5,18,1,4,1,1,3,-1.6055741,-.082182229,-.33278131,-.61213052
1,0,5,6,6,3,5,3,3,5,5,18,1,4,3,0,2,.099902101,-.32251945,-.52630687,-.49778989
0,0,6,6,6,2,5,5,5,6,6,18,1,4,1,0,0,.36271146,.43339923,-.92858517,.80215788
1,0,6,6,7,4,6,4,4,7,7,18,1,2,2,0,2,.49613816,1.21466,-.16934833,.20974529
1,0,6,6,4,4,5,3,6,5,4,18,0,1,1,0,2,-.11091586,-.74573892,-.27568224,.32432923
1,0,7,7,7,6,6,4,5,6,7,19,0,4,1,1,2,1.2328387,.69471979,.3967036,.46705693
1,1,5,6,5,5,5,2,2,6,6,18,1,3,1,0,3,-.40549257,.54230666,.072881714,-1.0842149
0,0,7,7,7,7,7,3,2,7,7,18,1,3,3,0,0,1.0899606,1.1183424,1.0492927,-.6550799
0,1,4,5,3,3,3,3,5,4,3,18,1,5,1,1,1,-1.3301555,-1.340901,-.95532107,-.10611694
0,1,5,5,4,3,3,4,4,4,4,18,0,3,1,1,1,-.79305643,-.99295419,-.85827994,.061186276
0,0,6,7,7,3,7,5,7,7,7,19,1,5,1,0,0,.99125898,1.1090565,-.46103069,1.3222201
1,1,5,2,6,4,1,4,2,3,3,18,1,4,1,0,3,-1.303619,-1.6514367,-.75831503,-.48567751
1,1,6,5,6,6,6,4,4,6,6,19,0,2,2,1,3,-.14031796,.49251804,.58647579,.15987656
1,0,6,6,6,6,6,4,2,6,6,20,1,3,2,0,2,.20871904,.45546228,.63805032,-.40629613
1,0,6,6,6,5,5,4,4,4,5,20,1,5,1,0,2,.44379792,-.77935624,.1193151,.10707024
0,0,5,4,4,6,6,4,2,5,5,20,1,4,3,0,0,-1.4064395,-.12829731,.88854122,-.42488563
0,0,6,6,6,6,6,4,4,5,5,18,0,3,3,0,0,.37492168,-.38666824,.57952636,.083307125
0,0,4,6,6,6,4,3,2,4,6,18,1,4,4,1,0,-.31310043,-.23889738,.12680337,-.90615046
0,0,4,5,5,5,5,5,3,5,5,18,1,4,1,0,0,-.95609152,-.17286848,.088413544,.018995384
0,1,5,5,5,4,5,2,5,5,3,18,1,4,1,1,1,-.45642743,-1.080979,-.26310718,-.35715079
0,1,7,6,6,6,6,5,4,6,6,18,0,2,2,0,1,.56629014,.38997832,.58406699,.51556981
1,0,6,4,6,6,7,4,4,6,5,18,1,4,2,1,2,-.46525156,.1245274,.9162609,.17100205
0,1,7,6,6,7,5,2,5,7,7,19,1,4,1,0,1,.43575513,1.2029753,.46474093,-.16183414
1,0,7,7,7,7,7,2,1,7,7,19,0,4,1,1,2,1.0630665,1.126484,1.1122614,-1.2266544
1,1,6,5,5,7,5,4,2,6,6,24,1,4,1,1,3,-.52981997,.56509864,.78616846,-.40702158
1,1,5,5,5,3,3,5,5,5,5,19,1,3,4,0,3,-.56783688,-.21672566,-1.0409473,.65658116
1,1,7,6,7,7,4,4,3,7,7,18,0,3,2,1,3,.70876664,1.210941,.29113212,-.10642256
0,0,6,6,6,5,7,4,6,7,5,19,1,4,1,0,0,.34327468,.38597611,.27542794,.63994938
1,1,4,4,3,4,4,6,5,2,4,19,1,4,1,1,3,-1.6967934,-1.6797775,-.17651486,.91847712
1,1,6,6,6,3,3,5,6,6,3,18,0,1,4,1,3,.55900145,-.79217285,-1.2466688,.84428442
1,0,5,5,5,5,5,5,3,5,5,22,1,3,1,0,2,-.64896846,-.21881428,.1621035,.10588719
0,0,7,5,5,4,6,4,4,7,7,19,0,2,1,0,0,-.22772409,1.2984977,.079803146,.3627618
1,0,6,6,6,3,5,4,4,6,6,18,1,3,1,0,2,.31482452,.44273064,-.58647072,.19787236
0,1,6,6,6,4,4,2,5,4,4,19,1,3,3,0,1,.54491377,-1.1990303,-.4914062,-.28294432
0,1,6,5,5,7,4,4,7,4,2,18,0,2,2,1,1,-.043381102,-1.945346,.3352915,.71679771
